unix_timestamp,temp,readable_time
1336521600,476.38121528,2012/05/09 02:00:00
1336608000,476.96086806,2012/05/10 02:00:00
1336694400,475.89366898,2012/05/11 02:00:00
1336780800,477.33159722,2012/05/12 02:00:00
1336867200,480.60547454,2012/05/13 02:00:00
1336953600,480.6415625,2012/05/14 02:00:00
1337040000,477.19053241,2012/05/15 02:00:00
1337126400,472.22135417,2012/05/16 02:00:00
1337212800,474.44229167,2012/05/17 02:00:00
1337299200,466.31405093,2012/05/18 02:00:00
1337385600,463.7093287,2012/05/19 02:00:00
1337472000,470.38431713,2012/05/20 02:00:00
1337558400,470.36116898,2012/05/21 02:00:00
1337644800,464.94392361,2012/05/22 02:00:00
1337731200,466.60858568,2012/05/23 02:00:00
1337817600,460.73666667,2012/05/24 02:00:00
1337904000,459.67653935,2012/05/25 02:00:00
1337990400,459.36003472,2012/05/26 02:00:00
1338076800,458.20983796,2012/05/27 02:00:00
1338163200,458.00392361,2012/05/28 02:00:00
1338249600,457.35803241,2012/05/29 02:00:00
1338336000,466.25101852,2012/05/30 02:00:00
1338422400,461.42678241,2012/05/31 02:00:00
1338508800,461.41194444,2012/06/01 02:00:00
1338595200,467.97804398,2012/06/02 02:00:00
1338681600,461.33979167,2012/06/03 02:00:00
1338768000,457.72350694,2012/06/04 02:00:00
1338854400,465.38695602,2012/06/05 02:00:00
1338940800,464.11020833,2012/06/06 02:00:00
1339027200,464.64857639,2012/06/07 02:00:00
1339113600,461.30283565,2012/06/08 02:00:00
1339200000,458.28518519,2012/06/09 02:00:00
1339286400,463.2619213,2012/06/10 02:00:00
1339372800,474.49690972,2012/06/11 02:00:00
1339459200,475.45417824,2012/06/12 02:00:00
1339545600,474.59596065,2012/06/13 02:00:00
1339632000,472.56453704,2012/06/14 02:00:00
1339718400,464.37208333,2012/06/15 02:00:00
1339804800,457.60203704,2012/06/16 02:00:00
1339891200,462.076875,2012/06/17 02:00:00
1339977600,466.06123843,2012/06/18 02:00:00
1340064000,473.05392361,2012/06/19 02:00:00
1340150400,484.50782986,2012/06/20 02:00:00
1340236800,474.1741956,2012/06/21 02:00:00
1340323200,475.13368056,2012/06/22 02:00:00
1340409600,473.65060185,2012/06/23 02:00:00
1340496000,467.23269676,2012/06/24 02:00:00
1340582400,466.95524306,2012/06/25 02:00:00
1340668800,466.13508102,2012/06/26 02:00:00
1340755200,474.34952546,2012/06/27 02:00:00
1340841600,473.93284144,2012/06/28 02:00:00
1340928000,474.61326968,2012/06/29 02:00:00
1341014400,475.33981481,2012/06/30 02:00:00
1341100800,474.61565972,2012/07/01 02:00:00
1341187200,499.8262963,2012/07/02 02:00:00
1341273600,493.85949074,2012/07/03 02:00:00
1341360000,493.56398148,2012/07/04 02:00:00
1341446400,493.7953125,2012/07/05 02:00:00
1341532800,494.5049537,2012/07/06 02:00:00
1341619200,494.67818287,2012/07/07 02:00:00
1341705600,494.19225694,2012/07/08 02:00:00
1341792000,494.89333333,2012/07/09 02:00:00
1341878400,500.42662492,2012/07/10 02:00:00
1341964800,497.68408565,2012/07/11 02:00:00
1342051200,494.4987963,2012/07/12 02:00:00
1342137600,493.46405093,2012/07/13 02:00:00
1342224000,493.9093287,2012/07/14 02:00:00
1342310400,493.93186343,2012/07/15 02:00:00
1342396800,493.4900463,2012/07/16 02:00:00
1342483200,493.75582176,2012/07/17 02:00:00
1342569600,496.67078704,2012/07/18 02:00:00
1342656000,500.94371528,2012/07/19 02:00:00
1342742400,500.8359838,2012/07/20 02:00:00
1342828800,498.93517361,2012/07/21 02:00:00
1342915200,494.16378472,2012/07/22 02:00:00
1343001600,494.09802083,2012/07/23 02:00:00
1343088000,494.32836806,2012/07/24 02:00:00
1343174400,494.0827662,2012/07/25 02:00:00
1343260800,496.98454861,2012/07/26 02:00:00
1343347200,497.43861111,2012/07/27 02:00:00
1343433600,494.86597222,2012/07/28 02:00:00
1343520000,494.15637731,2012/07/29 02:00:00
1343606400,493.54458333,2012/07/30 02:00:00
1343692800,493.48230324,2012/07/31 02:00:00
1343779200,499.51537037,2012/08/01 02:00:00
1343865600,504.60429398,2012/08/02 02:00:00
1343952000,506.94684028,2012/08/03 02:00:00
1344038400,506.13042245,2012/08/04 02:00:00
1344124800,506.57132523,2012/08/05 02:00:00
1344211200,505.31988426,2012/08/06 02:00:00
1344297600,504.76144676,2012/08/07 02:00:00
1344384000,505.27971065,2012/08/08 02:00:00
1344470400,505.80961806,2012/08/09 02:00:00
1344556800,505.32927083,2012/08/10 02:00:00
1344643200,505.2315625,2012/08/11 02:00:00
1344729600,504.9071412,2012/08/12 02:00:00
1344816000,505.14105324,2012/08/13 02:00:00
1344902400,504.87108796,2012/08/14 02:00:00
1344988800,504.82313657,2012/08/15 02:00:00
1345075200,504.66623843,2012/08/16 02:00:00
1345161600,504.83049769,2012/08/17 02:00:00
1345248000,505.07001157,2012/08/18 02:00:00
1345334400,505.15313657,2012/08/19 02:00:00
1345420800,505.35511574,2012/08/20 02:00:00
1345507200,531.64741898,2012/08/21 02:00:00
1345593600,553.39726852,2012/08/22 02:00:00
1345680000,511.77172454,2012/08/23 02:00:00
1345766400,506.29782407,2012/08/24 02:00:00
1345852800,503.74135417,2012/08/25 02:00:00
1345939200,503.36857639,2012/08/26 02:00:00
1346025600,503.16275463,2012/08/27 02:00:00
1346112000,504.56130787,2012/08/28 02:00:00
1346198400,516.12674769,2012/08/29 02:00:00
1346284800,521.15517361,2012/08/30 02:00:00
1346371200,522.02256944,2012/08/31 02:00:00
1346457600,520.0743287,2012/09/01 02:00:00
1346544000,517.16483796,2012/09/02 02:00:00
1346630400,517.41827546,2012/09/03 02:00:00
1346716800,516.15423611,2012/09/04 02:00:00
1346803200,515.19358796,2012/09/05 02:00:00
1346889600,516.06496528,2012/09/06 02:00:00
1346976000,515.84246528,2012/09/07 02:00:00
1347062400,516.47519676,2012/09/08 02:00:00
1347148800,518.73319444,2012/09/09 02:00:00
1347235200,533.17791667,2012/09/10 02:00:00
1347321600,532.46134259,2012/09/11 02:00:00
1347408000,520.11833333,2012/09/12 02:00:00
1347494400,509.8728125,2012/09/13 02:00:00
1347580800,508.51190972,2012/09/14 02:00:00
1347667200,507.78944444,2012/09/15 02:00:00
1347753600,507.68888889,2012/09/16 02:00:00
1347840000,506.16913194,2012/09/17 02:00:00
1347926400,507.96130787,2012/09/18 02:00:00
1348012800,515.19890046,2012/09/19 02:00:00
1348099200,514.2628588,2012/09/20 02:00:00
1348185600,513.0509838,2012/09/21 02:00:00
1348272000,514.06935185,2012/09/22 02:00:00
1348358400,513.62414352,2012/09/23 02:00:00
1348444800,513.18690972,2012/09/24 02:00:00
1348531200,513.30451389,2012/09/25 02:00:00
1348617600,514.34484954,2012/09/26 02:00:00
1348704000,513.96013889,2012/09/27 02:00:00
1348790400,514.30694444,2012/09/28 02:00:00
1348876800,512.30861111,2012/09/29 02:00:00
1348963200,507.6296412,2012/09/30 02:00:00
1349049600,507.45194444,2012/10/01 02:00:00
1349136000,506.58400463,2012/10/02 02:00:00
1349222400,500.32634259,2012/10/03 02:00:00
1349308800,505.15340856,2012/10/04 02:00:00
1349395200,503.23320023,2012/10/05 02:00:00
1349481600,500.0478588,2012/10/06 02:00:00
1349568000,500.16674769,2012/10/07 02:00:00
1349654400,500.10318287,2012/10/08 02:00:00
1349740800,499.12545139,2012/10/09 02:00:00
1349827200,499.17957176,2012/10/10 02:00:00
1349913600,499.31524306,2012/10/11 02:00:00
1350000000,500.59038194,2012/10/12 02:00:00
1350086400,500.834375,2012/10/13 02:00:00
1350172800,500.79481481,2012/10/14 02:00:00
1350259200,500.59056713,2012/10/15 02:00:00
1350345600,501.67825231,2012/10/16 02:00:00
1350432000,500.30380787,2012/10/17 02:00:00
1350518400,499.73527778,2012/10/18 02:00:00
1350604800,496.70516204,2012/10/19 02:00:00
1350691200,492.91170139,2012/10/20 02:00:00
1350777600,490.43699074,2012/10/21 02:00:00
1350864000,489.27179398,2012/10/22 02:00:00
1350950400,489.07239583,2012/10/23 02:00:00
1351036800,488.68853009,2012/10/24 02:00:00
1351123200,489.39645833,2012/10/25 02:00:00
1351209600,490.89609954,2012/10/26 02:00:00
1351296000,490.85950231,2012/10/27 02:00:00
1351382400,491.31082176,2012/10/28 02:00:00
1351468800,491.01028935,2012/10/29 01:00:00
1351555200,491.20667824,2012/10/30 01:00:00
1351641600,490.63431713,2012/10/31 01:00:00
1351728000,491.03949074,2012/11/01 01:00:00
1351814400,491.65616898,2012/11/02 01:00:00
1351900800,493.31894676,2012/11/03 01:00:00
1351987200,494.23351852,2012/11/04 01:00:00
1352073600,493.56496528,2012/11/05 01:00:00
1352160000,492.85571759,2012/11/06 01:00:00
1352246400,493.97309028,2012/11/07 01:00:00
1352332800,493.37199074,2012/11/08 01:00:00
1352419200,493.42662037,2012/11/09 01:00:00
1352505600,492.63030093,2012/11/10 01:00:00
1352592000,492.47386574,2012/11/11 01:00:00
1352678400,492.57127315,2012/11/12 01:00:00
1352764800,492.54121528,2012/11/13 01:00:00
1352851200,492.15493056,2012/11/14 01:00:00
1352937600,492.6350463,2012/11/15 01:00:00
1353024000,492.17206597,2012/11/16 01:00:00
1353110400,492.91887153,2012/11/17 01:00:00
1353196800,495.03791667,2012/11/18 01:00:00
1353283200,495.43519676,2012/11/19 01:00:00
1353369600,493.24032407,2012/11/20 01:00:00
1353456000,490.71434028,2012/11/21 01:00:00
1353542400,492.43546296,2012/11/22 01:00:00
1353628800,493.24046296,2012/11/23 01:00:00
1353715200,491.3277662,2012/11/24 01:00:00
1353801600,491.53486111,2012/11/25 01:00:00
1353888000,492.12743056,2012/11/26 01:00:00
1353974400,491.86814815,2012/11/27 01:00:00
1354060800,491.49347222,2012/11/28 01:00:00
1354147200,508.38951389,2012/11/29 01:00:00
1354233600,511.92207176,2012/11/30 01:00:00
1354320000,493.93872685,2012/12/01 01:00:00
1354406400,493.13228009,2012/12/02 01:00:00
1354492800,502.35164352,2012/12/03 01:00:00
1354579200,542.3053588,2012/12/04 01:00:00
1354665600,604.69471065,2012/12/05 01:00:00
1354752000,533.179375,2012/12/06 01:00:00
1354838400,494.98309028,2012/12/07 01:00:00
1354924800,495.5866088,2012/12/08 01:00:00
1355011200,496.88962963,2012/12/09 01:00:00
1355097600,495.39421296,2012/12/10 01:00:00
1355184000,497.16697917,2012/12/11 01:00:00
1355270400,497.64186343,2012/12/12 01:00:00
1355356800,496.80274306,2012/12/13 01:00:00
1355443200,500.16045139,2012/12/14 01:00:00
1355529600,502.08592593,2012/12/15 01:00:00
1355616000,501.65381944,2012/12/16 01:00:00
1355702400,501.7993287,2012/12/17 01:00:00
1355788800,502.58211806,2012/12/18 01:00:00
1355875200,525.49734954,2012/12/19 01:00:00
1355961600,535.0127662,2012/12/20 01:00:00
1356048000,520.59848937,2012/12/21 01:00:00
1356134400,521.26801841,2012/12/22 01:00:00
1356220800,521.70946759,2012/12/23 01:00:00
1356307200,522.19417824,2012/12/24 01:00:00
1356393600,521.96084491,2012/12/25 01:00:00
1356480000,522.78243056,2012/12/26 01:00:00
1356566400,522.5828588,2012/12/27 01:00:00
1356652800,517.13248843,2012/12/28 01:00:00
1356739200,506.31868056,2012/12/29 01:00:00
1356825600,505.73259259,2012/12/30 01:00:00
1356912000,505.7518287,2012/12/31 01:00:00
1356998400,504.5183912,2013/01/01 01:00:00
1357084800,505.74311343,2013/01/02 01:00:00
1357171200,505.37496528,2013/01/03 01:00:00
1357257600,505.48282407,2013/01/04 01:00:00
1357344000,505.19145833,2013/01/05 01:00:00
1357430400,505.23458333,2013/01/06 01:00:00
1357516800,505.69805556,2013/01/07 01:00:00
1357603200,508.3798137,2013/01/08 01:00:00
1357689600,549.09633829,2013/01/09 01:00:00
1357776000,540.14452546,2013/01/10 01:00:00
1357862400,540.28905093,2013/01/11 01:00:00
1357948800,541.40746528,2013/01/12 01:00:00
1358035200,541.99704861,2013/01/13 01:00:00
1358121600,542.32711806,2013/01/14 01:00:00
1358208000,541.67686921,2013/01/15 01:00:00
1358294400,544.54824653,2013/01/16 01:00:00
1358380800,547.54322917,2013/01/17 01:00:00
1358467200,543.5656713,2013/01/18 01:00:00
1358553600,543.13846065,2013/01/19 01:00:00
1358640000,543.54491898,2013/01/20 01:00:00
1358726400,542.56444444,2013/01/21 01:00:00
1358812800,551.17520833,2013/01/22 01:00:00
1358899200,562.19049769,2013/01/23 01:00:00
1358985600,555.8137963,2013/01/24 01:00:00
1359072000,566.5462963,2013/01/25 01:00:00
1359158400,586.56601852,2013/01/26 01:00:00
1359244800,585.31765046,2013/01/27 01:00:00
1359331200,566.17065972,2013/01/28 01:00:00
1359417600,566.28869213,2013/01/29 01:00:00
1359504000,565.4212037,2013/01/30 01:00:00
1359590400,564.16118056,2013/01/31 01:00:00
1359676800,553.44696759,2013/02/01 01:00:00
1359763200,570.56247685,2013/02/02 01:00:00
1359849600,600.6928125,2013/02/03 01:00:00
1359936000,597.38290509,2013/02/04 01:00:00
1360022400,598.2769213,2013/02/05 01:00:00
1360108800,604.25314815,2013/02/06 01:00:00
1360195200,603.8754974,2013/02/07 01:00:00
1360281600,586.6230787,2013/02/08 01:00:00
1360368000,606.52261574,2013/02/09 01:00:00
1360454400,606.65840278,2013/02/10 01:00:00
1360540800,608.04535301,2013/02/11 01:00:00
1360627200,609.12691551,2013/02/12 01:00:00
1360713600,600.06648148,2013/02/13 01:00:00
1360800000,596.11872685,2013/02/14 01:00:00
1360886400,608.02358796,2013/02/15 01:00:00
1360972800,602.01736111,2013/02/16 01:00:00
1361059200,604.06711806,2013/02/17 01:00:00
1361145600,591.41212963,2013/02/18 01:00:00
1361232000,568.86171296,2013/02/19 01:00:00
1361318400,516.91453704,2013/02/20 01:00:00
1361404800,481.27726852,2013/02/21 01:00:00
1361491200,593.56700231,2013/02/22 01:00:00
1361577600,595.45737269,2013/02/23 01:00:00
1361664000,521.24759259,2013/02/24 01:00:00
1361750400,458.4422338,2013/02/25 01:00:00
1361836800,334.05850694,2013/02/26 01:00:00
1361923200,333.67085648,2013/02/27 01:00:00
1362009600,333.47033565,2013/02/28 01:00:00
1362096000,333.87671296,2013/03/01 01:00:00
1362182400,461.01947016,2013/03/02 01:00:00
1362268800,606.13099537,2013/03/03 01:00:00
1362355200,606.03358796,2013/03/04 01:00:00
1362441600,603.69217593,2013/03/05 01:00:00
1362528000,539.63211806,2013/03/06 01:00:00
1362614400,595.59306713,2013/03/07 01:00:00
1362700800,595.85946759,2013/03/08 01:00:00
1362787200,562.56070602,2013/03/09 01:00:00
1362873600,477.20466435,2013/03/10 01:00:00
1362960000,493.30248843,2013/03/11 01:00:00
1363046400,544.38164931,2013/03/12 01:00:00
1363132800,579.26362847,2013/03/13 01:00:00
1363219200,580.05320602,2013/03/14 01:00:00
1363305600,579.08539352,2013/03/15 01:00:00
1363392000,578.73574074,2013/03/16 01:00:00
1363478400,510.4806713,2013/03/17 01:00:00
1363564800,469.26844907,2013/03/18 01:00:00
1363651200,468.94060185,2013/03/19 01:00:00
1363737600,468.34054398,2013/03/20 01:00:00
1363824000,468.88796296,2013/03/21 01:00:00
1363910400,469.6409838,2013/03/22 01:00:00
1363996800,468.26013889,2013/03/23 01:00:00
1364083200,467.82174769,2013/03/24 01:00:00
1364169600,467.7241088,2013/03/25 01:00:00
1364256000,467.96623843,2013/03/26 01:00:00
1364342400,468.10421296,2013/03/27 01:00:00
1364428800,468.34864583,2013/03/28 01:00:00
1364515200,467.79172454,2013/03/29 01:00:00
1364601600,467.74584491,2013/03/30 01:00:00
1364688000,466.4878588,2013/03/31 01:00:00
1364774400,466.42465278,2013/04/01 02:00:00
1364860800,467.99145833,2013/04/02 02:00:00
1364947200,469.35486111,2013/04/03 02:00:00
1365033600,470.96902778,2013/04/04 02:00:00
1365120000,470.74543981,2013/04/05 02:00:00
1365206400,471.90439815,2013/04/06 02:00:00
1365292800,469.98239583,2013/04/07 02:00:00
1365379200,471.23452546,2013/04/08 02:00:00
1365465600,472.1955787,2013/04/09 02:00:00
1365552000,470.92346065,2013/04/10 02:00:00
1365638400,469.0452662,2013/04/11 02:00:00
1365724800,468.99716435,2013/04/12 02:00:00
1365811200,470.34021991,2013/04/13 02:00:00
1365897600,470.92876157,2013/04/14 02:00:00
1365984000,470.57428241,2013/04/15 02:00:00
1366070400,470.03820602,2013/04/16 02:00:00
1366156800,468.26811343,2013/04/17 02:00:00
1366243200,470.15540509,2013/04/18 02:00:00
1366329600,469.34534722,2013/04/19 02:00:00
1366416000,471.93568287,2013/04/20 02:00:00
1366502400,474.14201389,2013/04/21 02:00:00
1366588800,470.77366898,2013/04/22 02:00:00
1366675200,469.84045139,2013/04/23 02:00:00
1366761600,471.3246875,2013/04/24 02:00:00
1366848000,472.08607639,2013/04/25 02:00:00
1366934400,472.8896412,2013/04/26 02:00:00
1367020800,472.37328704,2013/04/27 02:00:00
1367107200,472.43668981,2013/04/28 02:00:00
1367193600,473.3680787,2013/04/29 02:00:00
1367280000,472.36623843,2013/04/30 02:00:00
1367366400,474.13270833,2013/05/01 02:00:00
1367452800,475.14260417,2013/05/02 02:00:00
1367539200,474.71084491,2013/05/03 02:00:00
1367625600,473.5149537,2013/05/04 02:00:00
1367712000,473.11506944,2013/05/05 02:00:00
1367798400,473.06621528,2013/05/06 02:00:00
1367884800,473.80774306,2013/05/07 02:00:00
1367971200,473.78478009,2013/05/08 02:00:00
1368057600,473.05217593,2013/05/09 02:00:00
1368144000,471.97902778,2013/05/10 02:00:00
1368230400,471.68760417,2013/05/11 02:00:00
1368316800,471.00075231,2013/05/12 02:00:00
1368403200,471.31271991,2013/05/13 02:00:00
1368489600,472.93172454,2013/05/14 02:00:00
1368576000,472.26818287,2013/05/15 02:00:00
1368662400,473.0871412,2013/05/16 02:00:00
1368748800,475.55063657,2013/05/17 02:00:00
